TestID,User,Password,PreOwnedSku,PickupAtStore,HoldPreOwned,StoreZip,ReUser,RePassword,PhoneNumber,EmailAddStart,Fullname,Lastname,Country,Address,City,State,ZipCode,EmailAddress,GiftCardNumber,GCPin,PowerUpCcNumber,PowerUpCcPin,PromoCode,PaypalUser,PaypalPassword,SaveEstimateSKU,CCNumber,CVVNumber,CCExpiry,PreOrderSku,NewSku,DownloadSku,OnlineSku,StoreAddress,PaymentCardType,PromoCode2,PromoCode3,PURAddress1,PURAddress2,PURZip,PURCity,PURState,CouponToRedeem,MerchToRedeem,DigitalToRedeem,SweepToRedeem
55555,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40954,bf_gsdc224@qagsecomprod.oib.com,T3sting1,922095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40955,bf_gsdc224@qagsecomprod.oib.com,T3sting1,922095,,,76051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41274,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40924,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40925,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40926,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81100,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,,,,,,,5555555555554444,123,1118,230647,,601400,,,,,,,,,,,,,,
69231,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,FALSE,FALSE,,,,8178178172,,Accept,Test,United States of America,UNIT 2050 BOX 490,APO,Armed Forces - Americas,96522,sample@sample.com,6006493711999901181,9905,,,,,,,5555555555554444,123,1118,,,,,,,,,,,,,,,,,
42424,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69475,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,EcomQAUseONLY-3,,,,,,,,640214,,,,,,,,,,,,,,,
69476,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,EcomQAUseONLY-10,,,,,,,,640214,,,,,,,,,,,,,,,
69477,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,,,EcomQAUseONLY-2,,,,,,,103843,640214,,,,,EcomQAUseONLY-3,,,,,,,,,,
69808,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68499,bf_gsdc210@qagsecomprod.oib.com,T3sting1,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,640214,,,,,,,,,,,,,,,
40941,bf_gsdc241@qagsecomprod.oib.com,T3sting1,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,640214,,,,,,,Unit 250,PO BOX,75603,Irving,TX,PowerUp Rewards PRO Membership,,,
40942,bf_gsdc241@qagsecomprod.oib.com,T3sting1,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,640214,,,,,,,Unit 250,PO BOX,75603,Irving,TX,,Mario Rubber Keychain,,
40943,bf_gsdc241@qagsecomprod.oib.com,T3sting1,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,640214,,,,,,,Unit 250,PO BOX,75603,Irving,TX,,,XYZ Shaun test digital 1,
40944,bf_gsdc241@qagsecomprod.oib.com,T3sting1,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,640214,,,,,,,Unit 250,PO BOX,75603,Irving,TX,,,,1 UFC Sweepstake Entry
